event_id,client_id,ts,hour,time_bucket,location,device,department,label,is_anomaly,anomaly_type
9046e06d-35c3-48e5-9573-beb99a66781b,f35d3a22-1f79-4cff-9c7f-3f9131f169c9,1756068071,15,bucket_12_18,delhi,phone1,cs,0,0,normal
d9aff3c8-69e4-4527-9b21-c8b0583e5ebc,714a49ec-2903-4b00-9af8-84b8dd0b27ef,1756068071,15,bucket_12_18,chennai,laptop1,cs,0,0,normal
434951d6-2524-4227-827e-ba5ea4a687c2,61d7625c-b24d-41b1-b077-ea1104633eea,1756068071,14,bucket_12_18,mumbai,legion,cs,1,0,normal
848ae254-c8a8-42da-9c36-32ae582e153d,04654a65-c5e8-4f9b-869a-54b93c911800,1756068071,16,bucket_12_18,bangalore,laptop1,eng,0,0,normal
304e0bbc-e0da-4bd3-97ec-ec0167105873,e8c449c0-5149-405c-91c2-318e7b77956c,1756068071,16,bucket_12_18,mumbai,legion,cs,1,0,normal
0037bbc3-5994-4b79-82a8-36d560a42687,7655a929-4193-4f88-bb1b-5b775a90d5d7,1756068071,15,bucket_12_18,chennai,laptop1,cs,1,0,normal
83d9abe5-4626-48ba-ba6c-2eb146e4090b,89e359b4-2a0f-4550-a0e7-e2f1747bbada,1756068071,10,bucket_6_12,chennai,phone1,cs,1,0,normal
e81d7f20-88c5-46fa-ba5a-5bab4963d2a2,a89bb3fe-00f6-45ce-a5fe-af809a1a13a7,1756068071,15,bucket_12_18,bangalore,desktop,cs,1,0,normal
4bb4ea94-61ca-478d-b04c-01a40397d474,e33edff3-b674-47c9-9682-5f8995d48229,1756119365,23,bucket_18_24,blacklisted_region,unknown_device,external,0,1,suspicious_access
7fb2dedb-ed25-4d32-9544-430eca3cb251,e33edff3-b674-47c9-9682-5f8995d48229,1756117651,23,bucket_18_24,blacklisted_region,unknown_device,external,0,1,suspicious_access
97589bf5-be9a-4494-83d1-ecf703e144b3,e33edff3-b674-47c9-9682-5f8995d48229,1756116517,23,bucket_18_24,blacklisted_region,unknown_device,external,0,1,suspicious_access
98d76a53-243a-4e69-ad12-790ff946a419,e8c449c0-5149-405c-91c2-318e7b77956c,1756068071,11,bucket_6_12,mumbai,phone1,cs,1,0,normal
eef5309c-c550-41be-8271-7fc629435fa0,61d7625c-b24d-41b1-b077-ea1104633eea,1756068071,14,bucket_12_18,mumbai,desktop,math,1,0,normal
657c7cb4-f1e3-4e62-be0d-a58dc86d5784,89e359b4-2a0f-4550-a0e7-e2f1747bbada,1756068071,16,bucket_12_18,chennai,laptop1,cs,1,0,normal
41cf9339-0e84-467e-96a7-79122b98df30,df5d367d-6174-4411-9834-78be61f0a300,1756068071,9,bucket_6_12,chennai,legion,cs,1,0,normal
1091f937-8dea-40eb-99b8-105f30d8f505,e33edff3-b674-47c9-9682-5f8995d48229,1756068071,13,bucket_12_18,bangalore,laptop1,math,1,0,normal
2c0f3ebc-3dcc-457d-a1c0-1fbf01e03921,61d7625c-b24d-41b1-b077-ea1104633eea,1756061483,2,bucket_0_6,unknown_country,tor_exit_node,external,0,1,suspicious_access
7cc2fe68-084c-4aea-9156-55e9953980c0,61d7625c-b24d-41b1-b077-ea1104633eea,1756105578,2,bucket_0_6,unknown_country,tor_exit_node,external,0,1,suspicious_access
f5604e7b-133b-4ae2-b942-aeeb934c5606,61d7625c-b24d-41b1-b077-ea1104633eea,1756009538,2,bucket_0_6,unknown_country,tor_exit_node,external,0,1,suspicious_access
ba04331e-c318-44a8-97f1-d8f0f0fdcda6,61d7625c-b24d-41b1-b077-ea1104633eea,1756137298,2,bucket_0_6,unknown_country,tor_exit_node,external,0,1,suspicious_access
f51f5f82-2f3d-40b0-8e5d-e00b5f47ec28,61d7625c-b24d-41b1-b077-ea1104633eea,1756068251,2,bucket_0_6,unknown_country,tor_exit_node,external,0,1,suspicious_access
ad0d68ab-81f0-45d0-aa1b-f0e0ed3a8de9,61d7625c-b24d-41b1-b077-ea1104633eea,1756143766,2,bucket_0_6,unknown_country,tor_exit_node,external,0,1,suspicious_access
13d19941-02a8-43d8-8d92-b52248b28429,5edc18db-0dcb-4f23-98d3-54a5e8e31718,1756068071,13,bucket_12_18,chennai,laptop1,math,1,0,normal
12adcd31-9414-42be-9519-2a56adf03c06,89e359b4-2a0f-4550-a0e7-e2f1747bbada,1756138673,3,bucket_0_6,unknown_country,suspicious_browser,external,0,1,suspicious_access
